iso3,category,category_name,type,type_name,variable,value,units,data_type,source
AGO,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,6.999775090228984e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
ARE,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARE,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARE,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARE,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,2.486370344069491e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARE,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARE,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARE,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARE,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARG,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,4.480680076225774e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
ARG,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,2.8244929603815992e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
ARG,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,2.377107517751486e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,3.0924895858776645e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,9.146983073352616e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,4.82549063647011e-7,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
ARG,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,6.947423085102506e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,1.0767830426774736e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,1.1519019164992945e-8,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,1.6705268717568595e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,2.069145284969063e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,2.253481793796149e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARG,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ATG,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,6.912450888917012e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ATG,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,1.6196077268284872e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ATG,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,9.440214594749998e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ATG,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ATG,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,2.730008375136547e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ATG,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ATG,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,2.073527747502046e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ATG,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,3.213766441618479e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ATG,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ATG,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ATG,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ATG,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ATG,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
AUS,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,7.205181887346187e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AUS,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,3.72351167397241e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AUS,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,1.263910187521025e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AUS,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,8.999086489623628e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AUS,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
AUS,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
AUS,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,2.404847156372028e-7,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AUS,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
AUS,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,1.9847167162696986e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AUS,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,8.520794272491167e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AUS,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,1.331095407442263e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AUS,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,6.557589604798672e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AUS,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,1.7276518964401427e-6,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,6.073688025838746e-6,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,9.141954560099697e-7,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,3.2371972725433504e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BEL,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,1.128050081348281e-7,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,1.6796524958465668e-6,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,1.1898321650087794e-6,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,6.231173345334906e-7,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,3.470215397534317e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEL,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,1.436636305262929e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BEL,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,9.474058803794522e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BEL,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,2.4060518725447773e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BEL,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,2.620402795432635e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BEL,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,8.916406935809979e-4,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEN,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,4.362642825572411e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BEN,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,1.0834510968229347e-4,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BEN,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BEN,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,2.244486643385252e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGD,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,3.301723670407028e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BGD,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,2.883132244892838e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BGD,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,1.3569656490534623e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGD,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,1.4170769427916734e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGD,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,1.6718632022750304e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGD,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGD,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,2.4079444795469534e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BGD,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGD,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGD,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,1.2804687354908947e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGD,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,1.7264412766827033e-4,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BGD,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGD,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,7.38820447465881e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,2.9042342816883514e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,6.804706983219871e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,8.431404421057892e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,3.3521986192449755e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGR,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGR,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,7.530871626296146e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGR,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGR,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,1.0421047458546786e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,2.2429132826908967e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BGR,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BGR,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,3.6394994275030946e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,2.9115661521486277e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,6.821885778488329e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHR,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,4.3799223412813936e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHR,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,7.54746452590335e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHR,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,1.5250580391458363e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,2.622770222447382e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHR,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,2.9305500991575202e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHR,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHR,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,1.8442689846673912e-4,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BHS,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,1.368264316471488e-4,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
BHS,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,7.561539997585415e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHS,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,3.7229269121493824e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BHS,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BHS,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BIH,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,3.8931275240209677e-7,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
BIH,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BIH,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BIH,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
BIH,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
