include,category,notes,status_updates,title_tool_old,title_tool,date,proposal,public,submitting_member,title,summary,assumptions_iuu,sdt_iuu,assumptions_overfished,sdt_overfished,assumptions_ofoc,sdt_ofoc,assumptions_cap_tier,iuu_definitions,iuu_assumption,iuu_percent,iuu_scope,iuu_scope_select,iuu_scope_manual,iuu_allow_sdt,iuu_sdt_ldc,iuu_sdt_what_ldc,iuu_sdt_time_delay_ldc,iuu_sdt_developing,iuu_sdt_what_developing,iuu_sdt_time_delay_developing,iuu_sdt_sve,iuu_sdt_what_sve,iuu_sdt_time_delay_sve,oa_definitions,oa_scope,oa_scope_select,oa_scope_manual,oa_hs_cutoff,oa_length_cutoff,oa_tonnage_cutoff,oa_engine_cutoff,oa_allow_sdt,oa_sdt_ldc,oa_sdt_what_ldc,oa_sdt_hs_cutoff_ldc,oa_sdt_time_delay_ldc,oa_sdt_developing,oa_sdt_what_developing,oa_sdt_hs_cutoff_developing,oa_sdt_time_delay_developing,oa_sdt_sve,oa_sdt_what_sve,oa_sdt_hs_cutoff_sve,oa_sdt_time_delay_sve,overcap_definitions,overcap_scope,overcap_scope_select,overcap_scope_manual,overcap_hs_cutoff,overcap_length_cutoff,overcap_tonnage_cutoff,overcap_engine_cutoff,overcap_allow_sdt,overcap_sdt_ldc,overcap_sdt_what_ldc,overcap_sdt_hs_cutoff_ldc,overcap_sdt_time_delay_ldc,overcap_sdt_developing,overcap_sdt_what_developing,overcap_sdt_hs_cutoff_developing,overcap_sdt_time_delay_developing,overcap_sdt_sve,overcap_sdt_what_sve,overcap_sdt_hs_cutoff_sve,overcap_sdt_time_delay_sve,cap_on_off,cap_subsidy_types,cap_tier_number,tier_system,two_tier_cutoff,three_tier_cutoff,tier1_cap_rule,tier1_cap_value,tier1_cap_percent,tier1_cap_best_percent_subs,tier1_cap_best_percent_landed_value,tier1_cap_best_percent_fishers,tier2_cap_rule,tier2_cap_value,tier2_cap_percent,tier2_cap_best_percent_subs,tier2_cap_best_percent_landed_value,tier2_cap_best_percent_fishers,tier3_cap_rule,tier3_cap_value,tier3_cap_percent,tier3_cap_best_percent_subs,tier3_cap_best_percent_landed_value,tier3_cap_best_percent_fishers
Yes,IUU,NOTE: All IUU proposals yield similar results because of data availability.,10/21/21 - Text updated.,EU - IUU,IUU (Option B),10-Sep-19,RD/TN/RL/104,No,European Union,Possible consolidated vertical negotiating text,"This communication aims to consolidate all existing texts that have been put forth or discussed with regards to a prohibition on subsidies that contribute to IUU fishing. It contains alternative approaches to crafting such a discipline, as well as alternative versions of relevant definitions. ","<ol><li>Final determinations are made by existing RFMO/A vessel lists, by flag, subsidizing, coastal, port, or market Member states.</li><li>No publicly available data exist for most flag and subsidizing Member states, nor for coastal, port, or market Member states. The possible effects of modeling this proposal is therefore a conservative interpretation of this text. Users are free to explore a more ambitious interpretation by making their own assumptions about the expected IUU-findings.</li><li>No proportionality or the duration of prohibition is considered.</li></ol>",None considered.,None</br>,N/A,None</br>,N/A,No,"IUU1, IUU2, IUU3, IUU4, IUU5, IUU6",NO,,ALL,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,Other & Multiple,,10/21/21 - Text updated.,Philippines - Disputed waters,Disputed waters,21-Oct-19,TN/RL/GEN/202,Yes,Philippines,Proposed solution to concerns on disputed waters,"This communication advocates for prohibiting subsidies in disputed waters, unless all parties have jointly notified the WTO of any agreement to subsidize. Members should attempt to reach an agreement through bilateral consultations before going to Dispute Settlement. ",None</br>,N/A,None</br>,N/A,"<ol><li>We assume that all capacity-enhancing and ambiguous subsidies as defined by Sumaila et al. (2019) are prohibited in areas classified as ""disputed"" in the Marine Regions' Maritime Boundaries World EEZ dataset (v10).</li><li>We note that this is a very ambitious interpretation of the possible effects of this proposal.</li><li>It is materially impossible to model non-existing agreements to subsidize in disputed areas.</li></ol><i>Disclaimer: We recognize that disputed areas are a political matter and our interpretation of this text is not meant to imply the expression of any opinion whatsoever concerning the status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontier or boundaries.</i>",None considered.,No,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",SELECT,DISPUTE,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,"NOTE: Modeled using parameters of overfished stocks - assumed to have a similar biological interpretation as New Zealand/Iceland, but less ambitious because of S&DT. Transition periods are not modeled. ",10/21/21 - Text updated. 6/8/21 - Updated so that only LDCs have S&DT for territorial waters.,EU and others - Overfishing and overcapacity,OFOC - Prohibition + management,6-Nov-19,RD/TN/RL/112/Rev.1,No,"European Union, Japan, the Republic of Korea, and the Separate Customs Territory of Taiwan, Penghu, Kinmen, and Matsu",Proposed draft text on a prohibition of subsidies contributing to overcapacity and overfishing,"This communication advocates for a general prohibition of subsidies that contribute to overcapacity and overfishing. However, it allows for subsidies if the subsidizing Member can demonstrate that the stock(s) targeted by the subsidy recipient are managed on the based on the best publicly available scientific evidence taking into account the following elements: 1) scientific stock assessments; 2) legal institutions for resource management (i.e. vessel registration and fishery permits); 3) specific conservation and management measures for fish stocks (i.e. input, output, and technical controls taking account of fishery status); 4) monitoring, control and surveillance measures. It also provides a list of subsidies that shall be deemed not to be prohibited. Includes a reference to the precautionary principle to be included in a preamble. Prohibition should not apply to subsistence fishing.",None</br>,N/A,None</br>,N/A,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we use the same approach as that used for overfished stocks. We assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 1) in the RAM Legacy Stock Assessment Database are prohibited.</li><li>The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>The proposal is ambiguous about which reference points might be used to make an overfished determination, and we therefore note that this is only one very narrow possible interpretation of this text.</li><li>Subsidies for subsistence fishing are not captured in this tool, so this exemption is not modeled.</li></ol>",This prohibition shall not apply to subsidies granted by LDCs for fishing in their territorial waters. A transition period is considered but not modeled.,No,,,,,,,NO,,,,,,,,,,OA1,ALL,,,,,,,YES,YES,TER,,,NO,,,,NO,,,,,,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,IUU,NOTE: All IUU proposals yield similar results because of data availability.,"10/21/21 - Text updated. 5/13/21 - Changed text and S&DT (May 13, 2021).",Facilitator's working text - IUU,Facilitator's working text - IUU,2-Dec-19,RD/TN/RL/113,No,Facilitator's working paper,"Elimination of subsidies that contribute to illegal, unreported and unregulated (IUU) fishing - Facilitator's working paper","This document summarizes the Facilitator's recommendations regarding the elimination of subsidies that contribute to IUU fishing. Key elements: i) making IUU determinations is a right Members have based on agreements outside the WTO; ii) a subsidies prohibition should not imply an obligation related to making IUU determinations; iii) all procedures must have been followed in making the determination, including appeal and review; iv) there is general agreement that determinations by a coastal state, RFMO/A, flag state, and subsidizing Member state should all trigger the prohibition of subsidies.","<ol><li>Final determinations are made by existing RFMO/A vessel lists, by flag, subsidizing, and coastal Member states.</li><li>No publically available data exist for most flag and subsidizing Member states, nor for coastal Member states. The possible effects of modeling this proposal is therefore a conservative interpretation of this text. Users are free to explore a more ambitious interpretation by making their own assumptions about the expected IUU-findings.</li><li>No proportionality or the duration of prohibition is considered.</li></ol>",Subsidies provided by developing country Members and LDCs for fishing within their territorial waters shall be allowed. A transition period is considered but not modeled.,None</br>,N/A,None</br>,N/A,No,"IUU1, IUU2, IUU3, IUU4",NO,,SELECT,EX_TER,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
No,OFOC,,10/21/21 - Text updated.,Facilitator's working text - Overcapacity and overfishing,Facilitator's working text - OFOC,2-Dec-19,RD/TN/RL/114,No,Facilitator's working paper,Overcapacity and overfishing: Facilitator's working paper,"This communication presents the current state of the negotiations as they relate to a prohibition on subsidies that contribute to overcapacity and overfishing. A number of different approaches are discussed along with pertaining unresolved questions. This working paper does not contain text suggestions to model, but is included here for reference.",<br>,,<br>,,<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,OFOC,,10/21/21 - Text updated.,Argentina and others - Vessel flagging,Vessel flagging,2-Dec-19,TN/RL/GEN/201/Rev.1,Yes,"Argentina, Australia, Indonesia, Japan, New Zealand, the United States and Uruguay",Prohibiting subsidies to fishing vessels not flying the Member's flag,"This communication advocates for prohibiting subsidies to vessels that are subsidized by a WTO Member, but do not fly the flag of that Member. An underlying assumption of this tool to make modeling possible is that the subsidizing state of a vessel is its flag state. Therefore, this communication is not modeled, but is included here for reference.",<br>,,<br>,,<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Other & Multiple,,10/21/21 - Text updated.,Facilitator's working text - S&DT,Facilitator's working text - S&DT,3-Dec-19,RD/TN/RL/118,No,Facilitator's working paper,Special and differential treatment: Facilitator's working paper,"This communication presents the current state of the negotiations as they relate to special and differential treatment. A number of different approaches are discussed along with pertaining unresolved questions. This working paper does not contain text suggestions to model, but is included here for reference.",<br>,,<br>,,<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Overfished,Blank option for this proposal.,10/21/21 - Text updated. 5/13/21 - Text updated.,Facilitator's text - Overfished,Facilitator's text - Overfished,4-Dec-19,RD/TN/RL/119/Rev.1,No,Facilitator's working paper,Overfished stocks: Facilitator's working paper,"This communication presents a draft text on subsidies for fishing overfished stocks. It aims to consolidate possible alternative approaches that have been put forth or discussed, and is an attempt to try to focus future discussions. It provides two alternative approaches for crafting such a prohibition: subsidies shall be prohibited i) if there is a lack of recovery of the stock or if there is a continuous reduction in the level of the stock; ii) if they are not implemented in a manner that ensures rebuilding of the stock. It also provides two possible ways of characterizing and determining what constitutes an overfished stock: i) those recognized as such by the Member under whose jurisdiction the fishing is taking place or by the relevant RFMO/A; ii) those for which the mortality from fishing needs to be restricted to allow the stock to rebuild to some reference point. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternate,Overfished,These are the options for the facilitator's text + more ambitious overfished,10/21/21 - Text updated.,Facilitator's text - Overfished,Facilitator's text - Overfished [Objective Definition],4-Dec-19,RD/TN/RL/119/Rev.1 | Objective Definition,No,Facilitator's working paper,Overfished stocks: Facilitator's working paper,"This communication presents a draft text on subsidies for fishing overfished stocks. It aims to consolidate possible alternative approaches that have been put forth or discussed, and is an attempt to try to focus future discussions. It provides two alternative approaches for crafting such a prohibition: subsidies shall be prohibited i) if there is a lack of recovery of the stock or if there is a continuous reduction in the level of the stock; ii) if they are not implemented in a manner that ensures rebuilding of the stock. It also provides two possible ways of characterizing and determining what constitutes an overfished stock: i) those recognized as such by the Member under whose jurisdiction the fishing is taking place or by the relevant RFMO/A; ii) those for which the mortality from fishing needs to be restricted to allow the stock to rebuild to some reference point. ",None</br>,N/A,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 1) in the RAM Legacy Stock Assessment Database are prohibited.</li><li>The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>The proposal is ambiguous about which reference point might be used to make an overfished determination, and we therefore note that this is only one possible interpretation of this text.</li><li>Additionally, as written, this text includes two alternative definitions used to identify an overfished stock - this is the more ambitious interpretation of the two (see OFOC - Negative effects (Option A)).</li></ol>",None considered.,None</br>,N/A,No,,,,,,,NO,,,,,,,,,,OA1,ALL,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Alternate,Overfished,These are the options for the facilitator's text + less ambitious overfished,10/21/21 - Text updated.,Facilitator's text - Overfished,Facilitator's text - Overfished [Relevant Authorities],4-Dec-19,RD/TN/RL/119/Rev.1 | Relevant Authorities,No,Facilitator's working paper,Overfished stocks: Facilitator's working paper,"This communication presents a draft text on subsidies for fishing overfished stocks. It aims to consolidate possible alternative approaches that have been put forth or discussed, and is an attempt to try to focus future discussions. It provides two alternative approaches for crafting such a prohibition: subsidies shall be prohibited i) if there is a lack of recovery of the stock or if there is a continuous reduction in the level of the stock; ii) if they are not implemented in a manner that ensures rebuilding of the stock. It also provides two possible ways of characterizing and determining what constitutes an overfished stock: i) those recognized as such by the Member under whose jurisdiction the fishing is taking place or by the relevant RFMO/A; ii) those for which the mortality from fishing needs to be restricted to allow the stock to rebuild to some reference point. ",None</br>,N/A,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 0.8) in the RAM Legacy Stock Assessment Database are prohibited.</li><li>The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>The proposal is ambiguous about which reference point might be used to make an overfished determination, and we therefore note that this is only one possible interpretation of this text.</li><li>Additionally, as written, this text includes two alternative definitions used to identify an overfished stock - this is the less ambitious interpretation of the two (see Overfished - Negative effects (Option A)).</li></ol>",None considered.,None</br>,N/A,No,,,,,,,NO,,,,,,,,,,OA2,ALL,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,"Modeled using parameters of overfished stocks - assumed to have a similar biological interpretation as New Zealand/Iceland, but more ambitious because of additional OCOF constraints on high seas fishing. ",10/21/21 - Text updated.,Canada - Overfishing and overcapacity,OFOC - Negative effects + ABNJ,13-Jan-20,RD/TN/RL/121,No,Canada,Proposed prohibition on subsidies contributing to overcapacity and overfishing,This communication advocates for placing prohibitions on any subsidies contributing to overfishing or overcapacity and any subsidies for fishing outside of the jurisdictions of coastal Members or relevant RFMO/As. Subsidies shall be considered to contribute to overfishing or overcapacity if they benefit an entity engaged in fishing on a stock that is being fished at a rate that is greater than that which would allow it to be maintained at a sustainable level. ,None</br>,N/A,None</br>,N/A,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we use the same approach as that used for overfished stocks. We assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 1) in the RAM Legacy Stock Assessment Database are prohibited.</li><li>The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>The proposal is ambiguous about which reference point might be used to make an overfished determination, and we therefore note that this is only one possible interpretation of this text.</li><li>As written, this text places prohibitions on subsidies for fishing outside of the jurisdictions of coastal Members or relevant RFMO/As. Very few areas of the ocean are not under the jurisdiction of a RFMO/A, but it is difficult to determine on a global scale whether vessels are fishing for species governed by those RFMO/As at any given point in time.</li><li>We therefore assume that all capacity-enhancing and ambiguous subsidies as defined by Sumaila et al. (2019) are prohibited to vessels spending at least 5% of their total annual effort fishing on the high seas, outside of the jurisdictions of coastal Members.</li><li>We note that this is an ambitious interpretation of this prohibition.</li></ol>",None considered.,No,,,,,,,NO,,,,,,,,,,OA1,ALL,,,,,,,NO,,,,,,,,,,,,,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",SELECT,HS,,5,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,IUU,"NOTE: As written, developing countries not engaged in large-scale industrial distant water fishing are entitled to a transition period of 3 years. LDCs and SVEs are entitled to a transition period of 6 years. These transition periods are not modeled here.",10/21/21 - Text updated. 5/31/21 - Text updated.,ACP - IUU,IUU (Option C),4-Feb-20,RD/TN/RL/89/Rev.2,No,"Jamaica on behalf of the African, Caribbean and Pacific Countries (ACP) Group",IUU fishing,"This document builds on text proposal TN/RL/GEN/192, as reflected in TN/RL/W/274/Rev.6. It specifies that IUU determinations could be made by coastal Member states for activities in waters under their jurisdictions with respect to a foreign vessel or operator, or by RFMO/As in areas (and for species) under their jurisdictions. Members are encouraged to refrain from invoking the discipline based on minor infringements.","<ol><li>Final determinations are made by existing RFMO/A vessel lists, by flag, subsidizing, and coastal Member states.</li><li>No publicly available data exist for most flag and subsidizing Members, nor for coastal Members. The possible effects of modeling this proposal is therefore a conservative interpretation of this text. Users are free to explore a more ambitious interpretation by making their own assumptions about the expected IUU-findings.</li><li>No proportionality or the duration of prohibition is considered.</li></ol>",A transition period is considered but not modeled.,None</br>,N/A,None</br>,N/A,No,"IUU1, IUU2, IUU3, IUU4",NO,,ALL,,,YES,YES,TIME,6,YES,TIME,3,YES,TIME,6,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,Note: 2% of global marine capture fishing is used as the cutoff.,10/21/21 - Text updated. 6/8/21 - New scope option added to allow for 2% cutoff (previously 1%). ,ACP - Overfishing and overcapacity (revised),OFOC - List approach (revised),4-Feb-20,RD/TN/RL/96 Rev.2,No,"Jamaica on behalf of the African, Caribbean and Pacific Countries (ACP) Group",Overcapacity and overfishing,"This communication builds on TN/RL/GEN/192, as reflected in TN/RL/W/274/Rev.6, and advocates for a prohibition on subsidies for capital and operating costs, provided to large-scale industrial fishing. Capital cost subsidies include those for construction, acquisition, modernization, renovation or upgrading of vessels, direct transfers for vessel construction and modernization, purchase of machines and equipment for fishing vessels. Operating cost subsidies include those for fuel, ice, bait, personnel, income support of vessels or operators or the workers they employ, social chargers, insurance, payments based on the price of fish caught, gear, and at-sea support, or operating losses of such vessels or activities. This text includes a list of subsidies that shall not be prohibited (Green Box): fisheries management, permanent cessation of fishing; implementation of international agreements, disaster relief, health and safety conditions, promotion of human capital. ",None</br>,N/A,None</br>,N/A,"<ol><li>We assume that the following types of subsidies as defined by Sumaila et al. (2019) are prohibited: i) boat construction and renovation, ii) fuel.</li><li>This prohibition is assumed to only apply to Members responsible for more than 2% of global marine capture production as calculated from the FAO Global Marine Capture Database (annual average between 2016-2018).</li></ol>",This prohibition shall not apply to LDC Members.,No,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,"B1, B7",CAPTURE2,,,,,,,YES,YES,ALL,,,NO,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,Original Brazil formula proposal. ,10/21/21 - Text updated.,Brazil - Formula,CAP - Formula,29-Feb-20,RD/TN/RL/124,No,Brazil,Mechanism for Reductions and Limits of Fisheries Subsidies,This communication proposes a quantitative approach of reductions and limits to fisheries subsidies. The baseline of reductions is to be the annual average monetary value of fisheries subsidies (over the 3 prior years). It specifies cumulative ranges (8 ranges: $0-15 million USD to over $1.2 billion USD) of subsidies in monetary value. Members falling in each range will be subject to a specific percentage reduction in total fisheries subsidies (from 0% to 45% in increments of 5). The total subsidy reduction shall equal the sum of the cuts for each range.,None</br>,N/A,None</br>,N/A,None</br>,N/A,<ol><li>We assume each Member's baseline to be the total magnitude of capacity-enhancing and ambiguous subsidies estimated by Sumaila et al. (2019).</li><li>The formula ranges and percentages of reduction from the proposal are then applied to all Members.</li></ol>,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,YES,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",ONE,,,,BRAZIL,,,,,,,,,,,,,,,,,
Yes,Other & Multiple,NOTE: Transition period not modeled.,10/21/21 - Text updated.,LDC - Full text,Comprehensive text proposal,6-Mar-20,RD/TN/RL/125,No,Chad on behalf of the Least Developed Countries (LDC) Group,Fisheries Subsidies Text Proposal,This communication advocates for fisheries subsidies prohibitions across all three categories of proposed disciplines.,"<ol><li>Final determinations are made by existing RFMO/A vessel lists, by flag, subsidizing, and coastal Member states.</li><li>No publicly available data exist for most flag and subsidizing Members, nor for coastal Members. The possible effects of modeling this proposal is therefore a conservative interpretation of this text. Users are free to explore a more ambitious interpretation by making their own assumptions about the expected IUU-findings.</li><li>No proportionality or the duration of prohibition is considered.</li></ol>",None considered.,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 1) in the RAM Legacy Stock Assessment Database are prohibited.</li><li>The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>The proposal is ambiguous about which reference point might be used to make an overfished determination, and we therefore note that this is only one possible interpretation of this text.</li></ol>",Subsidies for fishing in a Member's territorial waters shall be allowed. A transition period is considered but not modeled.,"<ol><li>We assume that all capacity-enhancing and ambiguous subsidies as defined by Sumaila et al. (2019) are prohibited to vessels fishing on the high seas, and to vessels greater than 24 m in length or with a tonnage greater than 100 GT (we assume industrial fishing to be defined by the characteristics specified by OFOC – Vessel characteristics).</li></ol>",This prohibition shall not apply to LDC Members. A transition period is considered but not modeled.,No,"IUU1, IUU2, IUU3, IUU4",NO,,ALL,,,NO,,,,,,,,,,OA1,SELECT,EX_TER,,,,,,YES,YES,TIME,,5,YES,TIME,,5,NO,,,,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",SELECT,"LENGTH, TONNAGE",,,24,100,,YES,YES,ALL,,,YES,TIME,,5,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,Other & Multiple,NOTE: Modeled using LDC proposal for prohibitions (except for their S&DT - used that from this proposal instead). Tranistion periods not modeled.,Need to identify developing countries meeting non-industrial criteria. The three options associated with defining it could be calculated on the back-end. Also double check some of the options here. ,India - S&DT,S&DT,6-Mar-20,TN/RL/GEN/200/Rev.1,Yes,India,Article [X]: Special and differential treatment,"This communication advocates for special and differential treatment for all three classes of proposed disciplines. As written, this proposal does not specify potential prohibitions within each of the three categories, but only the S&DT that should be allowed for developing countries. To model the possible effects of this proposal, we therefore use the prohibition disciplines proposed in the Comprehensive text proposal (excluding any S&DT).","<ol><li>Final determinations are made by existing RFMO/A vessel lists, by flag, subsidizing, and coastal Member states.</li><li>No publicly available data exist for most flag and subsidizing Members, nor for coastal Members. The possible effects of modeling this proposal is therefore a conservative interpretation of this text. Users are free to explore a more ambitious interpretation by making their own assumptions about the expected IUU-findings.</li><li>No proportionality or the duration of prohibition is considered.</li></ol>","Subsidies granted by developing and LDC Members shall be allowed for small scale fishing a) within their own territorial waters and on the high seas for 7 years. We include the S&DT for fishing in territorial waters, but do not model the transitional S&DT.  ","<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 1) in the RAM Legacy Stock Assessment Database are prohibited.</li><li>The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>The proposal is ambiguous about which reference point might be used to make an overfished determination, and we therefore note that this is only one possible interpretation of this text.</li></ol>","Subsidies granted by developing and LDC Members shall be allowed for fishing a) within their own territorial waters and b) within their own EEZs for 2 years. We include the S&DT for fishing in territorial waters, but do not model the transitional S&DT. ","<ol><li>We assume that all capacity-enhancing and ambiguous subsidies as defined by Sumaila et al. (2019) are prohibited to vessels fishing on the high seas, and to vessels greater than 24 m in length or with a tonnage greater than 100 GT (we assume industrial fishing to be defined by the characteristics specified by OFOC – Vessel characteristics).</li></ol>","Subsidies granted by LDCs shall be allowed, and subsidies granted by developing countries shall be allowed for fishing in their territorial seas, or for fishing in their EEZs and on the high seas unless any of the following conditions are met for three consecutive years (2016-2018): a) GNI per capita is greater than US $5000 (constant 2010 US$), b) they engage in distant water fishing, or c) the contribution from Agriculture, Forestry and Fishing to their national GDP (World Bank) is greater than 10%.",No,"IUU1, IUU2, IUU3, IUU4",NO,,ALL,,,YES,YES,DOMESTIC,,YES,DOMESTIC,,NO,,,OA1,SELECT,ALL,,,,,,YES,YES,TER,,,YES,TER,,,NO,,,,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",SELECT,"LENGTH, TONNAGE",,,24,100,,YES,YES,ALL,,,YES,TER,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,"Rev.1 of the Brazil formula proposal. NOTE: As written, if a Member's baseline is lower than USD 25mn and the Member demonstrably needs to develop capacity to fish in their own EEZ, they shall be entitled an ""uplift"" of USD 5 mn (i.e., their subsidies limit shall be USD 30mn). The ""uplift"" shall last until one of the following conditions is met: the percentage of the fish caught within that Member's EEZ by vessels flying that Member's flag reaches 75 % of the total catch; or the Member has attained capacity to fish at MSY or alternative reference points within its own EEZ. The Member who benefits from the ""uplift"" shall notify, every two years, the percentage of fish caught in its EEZ by vessels carrying its flag. Every four years, the Member's exemption shall be reviewed. It is impossible to model a demonstrated need for developing capacity here, and thus this uplift is not modeled.  ","10/21/21 - Text updated. 5/13/21 - NEW. Pretty sure we can not model the S&DT ""uplift"" criteria here. Made this clear in the text. ",Brazil - Formula,CAP - Formula (Rev. 1),6-Oct-20,RD/TN/RL/124/Rev.1,No,Brazil,Mechanism for Reductions and Limits of Fisheries Subsidies (Rev. 1),"This communication proposes a quantitative approach of reductions and limits to maritime fisheries subsidies that is complementary to the main prohibition. The baseline of reductions is to be the annual average monetary value of fisheries subsidies (3 prior years or 1 year -optional) minus exempted subsidies (cessation, stock protection, artisanal fishing in 12nm zone, disaster relief). It specifies cumulative ranges (8 ranges: $0-15 million USD to over $1.2 billion USD) of subsidies in monetary value. Members falling in each range will be subject to a specific percentage reduction in total fisheries subsidies (from 0% to 15% and then to 45% in increments of 5). The total subsidy reduction shall equal the sum of the cuts on each range; the upper ranges carry larger reduction obligations. The proposal contains a default option of $25 million USD in cases where a Member fails to notify to establish the baseline. It also provides for a flexibility for Members with a baseline below $25 million USD that could be uplifted by $5 million USD under certain conditions (timebound, MSY and capture limit). ",None</br>,N/A,None</br>,N/A,None</br>,N/A,"<ol><li>We assume each Member's baseline to the total magnitude of capacity-enhancing subsidies estimated by Sumaila et al. (2019).</li><li>The formula ranges and percentages of reduction from the proposal are then applied to all Members.</li><li>The""uplift"" allowance for Members demonstrating a need to develop capacity within their own EEZ cannot be modeled here, thus this proposal is functionally equivalent to the earlier version.</li></ol>",,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,YES,"B1, B2, B3, B4, B5, B6, B7",ONE,,,,BRAZIL,,,,,,,,,,,,,,,,,
