iso3,year,category,category_name,type,type_name,data_type,units,source,value,variable
BEL,2011,2,General service support estimate,2B,Provision of infrastructure,Reported,2011 US$,OECD FSE database,517736.783,subsidies_OECD
BEL,2012,2,General service support estimate,2B,Provision of infrastructure,Reported,2012 US$,OECD FSE database,231950.616,subsidies_OECD
BEL,2013,2,General service support estimate,2B,Provision of infrastructure,Reported,2013 US$,OECD FSE database,362021.702,subsidies_OECD
BEL,2014,2,General service support estimate,2B,Provision of infrastructure,Reported,2014 US$,OECD FSE database,2749808.096,subsidies_OECD
BEL,2015,2,General service support estimate,2B,Provision of infrastructure,Reported,2015 US$,OECD FSE database,1247979.309,subsidies_OECD
BEL,2016,2,General service support estimate,2B,Provision of infrastructure,Reported,2016 US$,OECD FSE database,58864.854,subsidies_OECD
BEL,2017,2,General service support estimate,2B,Provision of infrastructure,Reported,2017 US$,OECD FSE database,502360.113,subsidies_OECD
BEL,2018,2,General service support estimate,2B,Provision of infrastructure,Reported,2018 US$,OECD FSE database,1916351.58,subsidies_OECD
BEL,2009,2,General service support estimate,2C,Marketing and promotion,Reported,2009 US$,OECD FSE database,1574047.421,subsidies_OECD
BEL,2010,2,General service support estimate,2C,Marketing and promotion,Reported,2010 US$,OECD FSE database,838362.273,subsidies_OECD
BEL,2013,2,General service support estimate,2C,Marketing and promotion,Reported,2013 US$,OECD FSE database,1121734.537,subsidies_OECD
BEL,2014,2,General service support estimate,2C,Marketing and promotion,Reported,2014 US$,OECD FSE database,1161477.569,subsidies_OECD
BEL,2015,2,General service support estimate,2C,Marketing and promotion,Reported,2015 US$,OECD FSE database,443728.738,subsidies_OECD
BEL,2016,2,General service support estimate,2C,Marketing and promotion,Reported,2016 US$,OECD FSE database,270269.814,subsidies_OECD
BEL,2017,2,General service support estimate,2C,Marketing and promotion,Reported,2017 US$,OECD FSE database,1336862.439,subsidies_OECD
BEL,2018,2,General service support estimate,2C,Marketing and promotion,Reported,2018 US$,OECD FSE database,911580.744,subsidies_OECD
BEL,2012,2,General service support estimate,2D,Support to fishing communities,Reported,2012 US$,OECD FSE database,2605809.032,subsidies_OECD
BEL,2013,2,General service support estimate,2D,Support to fishing communities,Reported,2013 US$,OECD FSE database,1308088.906,subsidies_OECD
BEL,2014,2,General service support estimate,2D,Support to fishing communities,Reported,2014 US$,OECD FSE database,248749.262,subsidies_OECD
BEL,2015,2,General service support estimate,2D,Support to fishing communities,Reported,2015 US$,OECD FSE database,672371.063,subsidies_OECD
BEL,2009,2,General service support estimate,2F,Research and development,Reported,2009 US$,OECD FSE database,325784.749,subsidies_OECD
BEL,2010,2,General service support estimate,2F,Research and development,Reported,2010 US$,OECD FSE database,995253.693,subsidies_OECD
BEL,2011,2,General service support estimate,2F,Research and development,Reported,2011 US$,OECD FSE database,1209730.111,subsidies_OECD
BEL,2012,2,General service support estimate,2F,Research and development,Reported,2012 US$,OECD FSE database,524850.566,subsidies_OECD
BEL,2013,2,General service support estimate,2F,Research and development,Reported,2013 US$,OECD FSE database,322385.178,subsidies_OECD
BEL,2014,2,General service support estimate,2F,Research and development,Reported,2014 US$,OECD FSE database,481783.656,subsidies_OECD
BEL,2015,2,General service support estimate,2F,Research and development,Reported,2015 US$,OECD FSE database,460859.995,subsidies_OECD
BEL,2016,2,General service support estimate,2F,Research and development,Reported,2016 US$,OECD FSE database,819347.712,subsidies_OECD
BEL,2017,2,General service support estimate,2F,Research and development,Reported,2017 US$,OECD FSE database,568277.289,subsidies_OECD
BEL,2018,2,General service support estimate,2F,Research and development,Reported,2018 US$,OECD FSE database,209208.275,subsidies_OECD
BEL,2010,2,General service support estimate,2G,Management of resources,Reported,2010 US$,OECD FSE database,605198.229,subsidies_OECD
BEL,2011,2,General service support estimate,2G,Management of resources,Reported,2011 US$,OECD FSE database,3470151.736,subsidies_OECD
BEL,2012,2,General service support estimate,2G,Management of resources,Reported,2012 US$,OECD FSE database,4515392.632,subsidies_OECD
BEL,2014,2,General service support estimate,2G,Management of resources,Reported,2014 US$,OECD FSE database,748927.477,subsidies_OECD
BEL,2015,2,General service support estimate,2G,Management of resources,Reported,2015 US$,OECD FSE database,148854.352,subsidies_OECD
BEL,2016,2,General service support estimate,2G,Management of resources,Reported,2016 US$,OECD FSE database,3400630.256,subsidies_OECD
BEL,2017,2,General service support estimate,2G,Management of resources,Reported,2017 US$,OECD FSE database,7162082.696,subsidies_OECD
BEL,2018,2,General service support estimate,2G,Management of resources,Reported,2018 US$,OECD FSE database,7986178.175,subsidies_OECD
BEL,2009,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2009 US$,OECD FSE database,478604.887,subsidies_OECD
BEL,2010,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2010 US$,OECD FSE database,923750.728,subsidies_OECD
BEL,2011,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2011 US$,OECD FSE database,223038.375,subsidies_OECD
BEL,2012,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2012 US$,OECD FSE database,938495.49,subsidies_OECD
BEL,2013,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2013 US$,OECD FSE database,2360128.138,subsidies_OECD
BEL,2014,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2014 US$,OECD FSE database,882518.626,subsidies_OECD
BEL,2015,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2015 US$,OECD FSE database,943765.543,subsidies_OECD
CAN,2008,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2008 US$,OECD FSE database,230619663.667,subsidies_OECD
CAN,2009,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2009 US$,OECD FSE database,222268304.972,subsidies_OECD
CAN,2010,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2010 US$,OECD FSE database,234607253.218,subsidies_OECD
CAN,2011,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2011 US$,OECD FSE database,262049538.419,subsidies_OECD
CAN,2012,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2012 US$,OECD FSE database,252992595.951,subsidies_OECD
CAN,2013,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2013 US$,OECD FSE database,240650196.089,subsidies_OECD
CAN,2014,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2014 US$,OECD FSE database,231376303.257,subsidies_OECD
CAN,2015,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2015 US$,OECD FSE database,213021665.148,subsidies_OECD
CAN,2016,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2016 US$,OECD FSE database,213443524.131,subsidies_OECD
CAN,2017,1,Transfers to individual fishers - budgetary,1B,Transfers based on fishers income,Reported,2017 US$,OECD FSE database,251603146.697,subsidies_OECD
CAN,2008,2,General service support estimate,2B,Provision of infrastructure,Reported,2008 US$,OECD FSE database,92463547.318,subsidies_OECD
CAN,2009,2,General service support estimate,2B,Provision of infrastructure,Reported,2009 US$,OECD FSE database,191357501.746,subsidies_OECD
CAN,2010,2,General service support estimate,2B,Provision of infrastructure,Reported,2010 US$,OECD FSE database,197535587.117,subsidies_OECD
CAN,2011,2,General service support estimate,2B,Provision of infrastructure,Reported,2011 US$,OECD FSE database,161632340.248,subsidies_OECD
CAN,2012,2,General service support estimate,2B,Provision of infrastructure,Reported,2012 US$,OECD FSE database,108895700.629,subsidies_OECD
CAN,2013,2,General service support estimate,2B,Provision of infrastructure,Reported,2013 US$,OECD FSE database,93181777.281,subsidies_OECD
CAN,2014,2,General service support estimate,2B,Provision of infrastructure,Reported,2014 US$,OECD FSE database,91593065.457,subsidies_OECD
CAN,2015,2,General service support estimate,2B,Provision of infrastructure,Reported,2015 US$,OECD FSE database,168969066.269,subsidies_OECD
CAN,2016,2,General service support estimate,2B,Provision of infrastructure,Reported,2016 US$,OECD FSE database,192896133.923,subsidies_OECD
CAN,2017,2,General service support estimate,2B,Provision of infrastructure,Reported,2017 US$,OECD FSE database,88830984.548,subsidies_OECD
CAN,2008,2,General service support estimate,2C,Marketing and promotion,Reported,2008 US$,OECD FSE database,2698245.943,subsidies_OECD
CAN,2009,2,General service support estimate,2C,Marketing and promotion,Reported,2009 US$,OECD FSE database,2412833.861,subsidies_OECD
CAN,2010,2,General service support estimate,2C,Marketing and promotion,Reported,2010 US$,OECD FSE database,2706030.14,subsidies_OECD
CAN,2011,2,General service support estimate,2C,Marketing and promotion,Reported,2011 US$,OECD FSE database,2741769.12,subsidies_OECD
CAN,2012,2,General service support estimate,2C,Marketing and promotion,Reported,2012 US$,OECD FSE database,2366502.55,subsidies_OECD
CAN,2013,2,General service support estimate,2C,Marketing and promotion,Reported,2013 US$,OECD FSE database,1672765.435,subsidies_OECD
CAN,2014,2,General service support estimate,2C,Marketing and promotion,Reported,2014 US$,OECD FSE database,454226.263,subsidies_OECD
CAN,2015,2,General service support estimate,2C,Marketing and promotion,Reported,2015 US$,OECD FSE database,1690421.963,subsidies_OECD
CAN,2016,2,General service support estimate,2C,Marketing and promotion,Reported,2016 US$,OECD FSE database,1902103.21,subsidies_OECD
CAN,2017,2,General service support estimate,2C,Marketing and promotion,Reported,2017 US$,OECD FSE database,2749888.098,subsidies_OECD
CAN,2008,2,General service support estimate,2G,Management of resources,Reported,2008 US$,OECD FSE database,462170905.396,subsidies_OECD
CAN,2009,2,General service support estimate,2G,Management of resources,Reported,2009 US$,OECD FSE database,393860782.132,subsidies_OECD
CAN,2010,2,General service support estimate,2G,Management of resources,Reported,2010 US$,OECD FSE database,450103899.058,subsidies_OECD
CAN,2011,2,General service support estimate,2G,Management of resources,Reported,2011 US$,OECD FSE database,461950002.945,subsidies_OECD
CAN,2012,2,General service support estimate,2G,Management of resources,Reported,2012 US$,OECD FSE database,411225205.563,subsidies_OECD
CAN,2013,2,General service support estimate,2G,Management of resources,Reported,2013 US$,OECD FSE database,385273229.739,subsidies_OECD
CAN,2014,2,General service support estimate,2G,Management of resources,Reported,2014 US$,OECD FSE database,345322028.598,subsidies_OECD
CAN,2015,2,General service support estimate,2G,Management of resources,Reported,2015 US$,OECD FSE database,297426880.498,subsidies_OECD
CAN,2016,2,General service support estimate,2G,Management of resources,Reported,2016 US$,OECD FSE database,293096041.211,subsidies_OECD
CAN,2017,2,General service support estimate,2G,Management of resources,Reported,2017 US$,OECD FSE database,365096269.887,subsidies_OECD
CAN,2008,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2008 US$,OECD FSE database,-40271555.043,subsidies_OECD
CAN,2009,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2009 US$,OECD FSE database,-38558386.156,subsidies_OECD
CAN,2010,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2010 US$,OECD FSE database,-39041899.599,subsidies_OECD
CAN,2011,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2011 US$,OECD FSE database,-40891301.848,subsidies_OECD
CAN,2012,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2012 US$,OECD FSE database,-41311245.057,subsidies_OECD
CAN,2013,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2013 US$,OECD FSE database,-39367637.463,subsidies_OECD
CAN,2014,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2014 US$,OECD FSE database,-37301939.948,subsidies_OECD
CAN,2015,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2015 US$,OECD FSE database,-33608025.223,subsidies_OECD
CAN,2016,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2016 US$,OECD FSE database,-29319977.144,subsidies_OECD
CAN,2017,3,Cost recovery charges,3A,"Cost recovery charges, for resource access rights",Reported,2017 US$,OECD FSE database,-31997014.013,subsidies_OECD
CAN,2008,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2008 US$,OECD FSE database,-1132284.472,subsidies_OECD
CAN,2009,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2009 US$,OECD FSE database,-1536208.419,subsidies_OECD
CAN,2010,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2010 US$,OECD FSE database,-1718618.976,subsidies_OECD
CAN,2011,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2011 US$,OECD FSE database,-1355566.491,subsidies_OECD
CAN,2012,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2012 US$,OECD FSE database,-991817.042,subsidies_OECD
CAN,2013,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2013 US$,OECD FSE database,-1292622.58,subsidies_OECD
CAN,2014,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2014 US$,OECD FSE database,-855919.423,subsidies_OECD
CAN,2015,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2015 US$,OECD FSE database,-841511.461,subsidies_OECD
CAN,2016,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2016 US$,OECD FSE database,-927761.061,subsidies_OECD
CAN,2017,3,Cost recovery charges,3B,"Cost recovery charges, for infrastructure access",Reported,2017 US$,OECD FSE database,-756788.886,subsidies_OECD
DNK,2008,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2008 US$,OECD FSE database,49755371.239,subsidies_OECD
DNK,2009,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2009 US$,OECD FSE database,47505166.079,subsidies_OECD
DNK,2010,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2010 US$,OECD FSE database,45617272.722,subsidies_OECD
DNK,2011,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2011 US$,OECD FSE database,44084507.36,subsidies_OECD
DNK,2012,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2012 US$,OECD FSE database,37683763.394,subsidies_OECD
DNK,2013,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2013 US$,OECD FSE database,44069067.833,subsidies_OECD
DNK,2014,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2014 US$,OECD FSE database,44283311.726,subsidies_OECD
DNK,2015,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2015 US$,OECD FSE database,37520537.784,subsidies_OECD
DNK,2016,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2016 US$,OECD FSE database,37593700.698,subsidies_OECD
DNK,2017,0,Transfers to individual fishers - non budgetary,0B,Fuel tax concessions,Reported,2017 US$,OECD FSE database,38099952.034,subsidies_OECD
DNK,2008,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2008 US$,OECD FSE database,5647354.464,subsidies_OECD
DNK,2009,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2009 US$,OECD FSE database,2272454.214,subsidies_OECD
DNK,2010,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2010 US$,OECD FSE database,818249.597,subsidies_OECD
DNK,2011,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2011 US$,OECD FSE database,7267296.511,subsidies_OECD
DNK,2012,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2012 US$,OECD FSE database,1160265.16,subsidies_OECD
DNK,2013,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2013 US$,OECD FSE database,1226139.555,subsidies_OECD
DNK,2014,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2014 US$,OECD FSE database,2912468.936,subsidies_OECD
DNK,2015,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2015 US$,OECD FSE database,234476.612,subsidies_OECD
DNK,2016,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2016 US$,OECD FSE database,4908512.029,subsidies_OECD
DNK,2017,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2017 US$,OECD FSE database,4792904.833,subsidies_OECD
DNK,2010,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2010 US$,OECD FSE database,24796.52,subsidies_OECD
DNK,2011,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2011 US$,OECD FSE database,1757936.486,subsidies_OECD
DNK,2008,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2008 US$,OECD FSE database,127489.461,subsidies_OECD
DNK,2009,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2009 US$,OECD FSE database,247282.488,subsidies_OECD
DNK,2010,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2010 US$,OECD FSE database,1369494.211,subsidies_OECD
DNK,2011,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2011 US$,OECD FSE database,1316837.072,subsidies_OECD
DNK,2012,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2012 US$,OECD FSE database,443146.102,subsidies_OECD
DNK,2013,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2013 US$,OECD FSE database,480547.235,subsidies_OECD
DNK,2014,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2014 US$,OECD FSE database,1213420.959,subsidies_OECD
DNK,2017,1,Transfers to individual fishers - budgetary,1D,Miscellaneous transfers to fishers,Reported,2017 US$,OECD FSE database,2665942.383,subsidies_OECD
DNK,2008,2,General service support estimate,2B,Provision of infrastructure,Reported,2008 US$,OECD FSE database,12886835.701,subsidies_OECD
DNK,2009,2,General service support estimate,2B,Provision of infrastructure,Reported,2009 US$,OECD FSE database,2043246.266,subsidies_OECD
