"","Id","Name","Category","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)","Subsidies affected ($)","Subsidies affected (%)"
"14","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",3.93,0.19,-4.9,0,4.19,0.28,-5.05,0.01,7051234727.60165,23.99
"15","RD/TN/RL/124","CAP - Formula","OFOC",7.17,2.24,-4.96,0.28,7.17,2.24,-4.97,0.28,11221526268.8716,38.18
"16","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC",6.8,2.11,-4.74,0.27,6.8,2.11,-4.75,0.27,10421862816.7425,35.46
"17","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished",0.44,-0.09,-0.31,-0.01,0.51,-0.08,-0.34,-0.01,1448606388.79036,4.93
"18","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished",0.34,-0.07,-0.24,-0.01,0.4,-0.07,-0.27,-0.01,1291006496.05946,4.39
"19","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished",1.82,0.22,-1.14,0.03,2.04,0.28,-1.25,0.04,4093495604.03919,13.93
"20","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished",0.44,-0.09,-0.31,-0.01,0.51,-0.08,-0.34,-0.01,1448606388.79036,4.93
"21","TN/RL/GEN/202","Disputed waters","Other & Multiple",0.02,0,-0.01,0,0.03,-0.01,-0.02,0,287021590.508403,0.98
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple",11.07,3.39,-7.4,0.42,11.2,3.38,-7.46,0.42,20257672109.3868,68.93
"23","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple",6.89,1.8,-5.5,0.22,7.11,1.82,-5.62,0.23,15416926156.3343,52.46
"24","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple",4.43,0.18,-5.31,-0.01,4.7,0.27,-5.47,0,8431251464.61675,28.69
"25","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple",4.42,0.19,-5.3,-0.01,4.68,0.27,-5.45,0,8166037505.54241,27.78
"26","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple",5.63,1.23,-4.08,0.15,5.63,1.23,-4.09,0.16,9411843815.27549,32.02
"27","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple",5.61,1.22,-4.07,0.15,5.62,1.22,-4.08,0.15,9264468919.43723,31.52
"28","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple",7.62,1.82,-5.43,0.23,7.63,1.82,-5.43,0.23,11992865683.1461,40.81
"29","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple",7.61,1.81,-5.42,0.23,7.61,1.82,-5.43,0.23,11889396284.047,40.45
"30","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple",5.33,1.09,-3.88,0.14,5.34,1.1,-3.88,0.14,8450672372.98158,28.75
"31","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple",5.32,1.09,-3.87,0.14,5.33,1.09,-3.87,0.14,8185458413.90724,27.85
"32","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple",8.17,1.99,-5.88,0.25,8.18,1.99,-5.88,0.25,13285263544.4511,45.2
"33","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple",8.17,1.99,-5.87,0.25,8.18,1.99,-5.88,0.25,13214302893.4658,44.96
"34","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple",4.41,0.18,-5.29,-0.01,4.67,0.26,-5.44,0,8024017835.07696,27.3
"35","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple",1.49,0.09,-0.99,0.01,1.63,0.1,-1.06,0.01,3679536993.12318,12.52
"36","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple",4.42,0.19,-5.3,-0.01,4.68,0.27,-5.45,0,8166037505.54241,27.78
"37","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple",6.8,1.83,-5.43,0.23,6.97,1.86,-5.52,0.23,10873988089.9345,37
"38","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple",9.31,2.39,-6.39,0.3,9.37,2.38,-6.43,0.3,17061837946.5975,58.05
"39","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple",0.42,-0.08,-0.29,-0.01,0.49,-0.07,-0.33,-0.01,1443424636.11769,4.91
"40","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple",8.82,2.26,-8.7,0.21,8.94,2.26,-8.76,0.21,11032779008.7934,37.54
"41","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple",9.31,2.39,-6.39,0.3,9.37,2.38,-6.43,0.3,17061837946.5975,58.05
"42","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple",4.2,-0.04,-5.34,-0.06,4.47,0.05,-5.51,-0.04,7807541124.85652,26.57
"43","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple",8.87,2.26,-8.74,0.21,9.02,2.27,-8.83,0.21,13123211201.3522,44.65
"44","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple",8.67,2.31,-8.6,0.22,8.83,2.32,-8.7,0.22,12938562797.7073,44.02
"45","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple",3.92,0.19,-4.88,0,4.17,0.29,-5.03,0.01,6780243591.25607,23.07
