group_for_pairing,Year,EEPEF
"Cods, hakes, haddocks",2011,2.5345536
"Cods, hakes, haddocks",2012,2.551722869
"Crabs, sea-spiders",1976,2.286022402
"Crabs, sea-spiders",1977,2.286022402
"Crabs, sea-spiders",1978,2.286022402
"Crabs, sea-spiders",1979,2.286022402
"Crabs, sea-spiders",1980,2.286022402
"Crabs, sea-spiders",1981,2.286022402
"Crabs, sea-spiders",1982,2.286022402
"Crabs, sea-spiders",1983,2.286022402
"Crabs, sea-spiders",1984,2.286022402
"Crabs, sea-spiders",1985,2.286022402
"Crabs, sea-spiders",1986,2.286022402
"Crabs, sea-spiders",1987,2.286022402
"Crabs, sea-spiders",1988,2.286022402
"Crabs, sea-spiders",1989,2.286022402
"Crabs, sea-spiders",1990,2.286022402
"Crabs, sea-spiders",1991,2.286022402
"Crabs, sea-spiders",1992,2.286022402
"Crabs, sea-spiders",1993,2.286022402
"Crabs, sea-spiders",1994,2.20395343
"Crabs, sea-spiders",1995,2.438122264
"Crabs, sea-spiders",1996,2.143821527
"Crabs, sea-spiders",1997,2.107388477
"Crabs, sea-spiders",1998,2.06688585
"Crabs, sea-spiders",1999,2.284531452
"Crabs, sea-spiders",2000,2.647501263
"Crabs, sea-spiders",2001,2.408893338
"Crabs, sea-spiders",2002,2.398593917
"Crabs, sea-spiders",2003,2.634395109
"Crabs, sea-spiders",2004,2.605652092
"Crabs, sea-spiders",2005,2.225073796
"Crabs, sea-spiders",2006,2.065310418
"Crabs, sea-spiders",2007,2.286022402
"Crabs, sea-spiders",2008,2.365048707
"Crabs, sea-spiders",2009,2.203282169
"Crabs, sea-spiders",2010,2.242202893
"Crabs, sea-spiders",2011,2.562190094
"Crabs, sea-spiders",2012,2.545622936
Fish for reduction,1976,5.139386069
Fish for reduction,1977,5.139386069
Fish for reduction,1978,5.139386069
Fish for reduction,1979,5.139386069
Fish for reduction,1980,5.139386069
Fish for reduction,1981,5.139386069
Fish for reduction,1982,5.139386069
Fish for reduction,1983,5.139386069
Fish for reduction,1984,5.139386069
Fish for reduction,1985,5.139386069
Fish for reduction,1986,5.139386069
Fish for reduction,1987,5.139386069
Fish for reduction,1988,5.139386069
Fish for reduction,1989,5.139386069
Fish for reduction,1990,5.139386069
Fish for reduction,1991,5.139386069
Fish for reduction,1992,5.139386069
Fish for reduction,1993,5.139386069
Fish for reduction,1994,3.672255923
Fish for reduction,1995,4.079435685
Fish for reduction,1996,4.37355577
Fish for reduction,1997,4.992845409
Fish for reduction,1998,5.4032553
Fish for reduction,1999,3.349638194
Fish for reduction,2000,2.647032911
Fish for reduction,2001,3.572189815
Fish for reduction,2002,4.750688618
Fish for reduction,2003,4.864664613
Fish for reduction,2004,5.450433386
Fish for reduction,2005,5.640585929
Fish for reduction,2006,5.74686771
Fish for reduction,2007,5.876338643
Fish for reduction,2008,10.67589179
Fish for reduction,2009,6.196739253
Fish for reduction,2010,6.754796728
Fish for reduction,2011,5.568290695
Fish for reduction,2012,5.139386069
"Flounders, halibuts, soles",1976,1.448541802
"Flounders, halibuts, soles",1977,1.448541802
"Flounders, halibuts, soles",1978,1.448541802
"Flounders, halibuts, soles",1979,1.448541802
"Flounders, halibuts, soles",1980,1.448541802
"Flounders, halibuts, soles",1981,1.448541802
"Flounders, halibuts, soles",1982,1.448541802
"Flounders, halibuts, soles",1983,1.448541802
"Flounders, halibuts, soles",1984,1.448541802
"Flounders, halibuts, soles",1985,1.448541802
"Flounders, halibuts, soles",1986,1.448541802
"Flounders, halibuts, soles",1987,1.448541802
"Flounders, halibuts, soles",1988,1.448541802
"Flounders, halibuts, soles",1989,1.448541802
"Flounders, halibuts, soles",1990,1.448541802
"Flounders, halibuts, soles",1991,1.448541802
"Flounders, halibuts, soles",1992,1.448541802
"Flounders, halibuts, soles",1993,1.448541802
"Flounders, halibuts, soles",1994,1.048586855
"Flounders, halibuts, soles",1995,1.118039748
"Flounders, halibuts, soles",1996,1.156755886
"Flounders, halibuts, soles",1997,1.127183045
"Flounders, halibuts, soles",1998,1.170548309
"Flounders, halibuts, soles",1999,1.702347955
"Flounders, halibuts, soles",2000,1.195537283
"Flounders, halibuts, soles",2001,1.241118541
"Flounders, halibuts, soles",2002,1.225857099
"Flounders, halibuts, soles",2003,1.40189954
"Flounders, halibuts, soles",2004,1.448541802
"Flounders, halibuts, soles",2005,1.492227255
"Flounders, halibuts, soles",2006,1.581818574
"Flounders, halibuts, soles",2007,1.588546283
"Flounders, halibuts, soles",2008,1.556563191
"Flounders, halibuts, soles",2009,1.486706328
"Flounders, halibuts, soles",2010,1.580331884
"Flounders, halibuts, soles",2011,1.612018011
"Flounders, halibuts, soles",2012,1.634230354
Freshwater crustaceans,1976,2.744805397
Freshwater crustaceans,1977,2.744805397
Freshwater crustaceans,1978,2.744805397
Freshwater crustaceans,1979,2.744805397
Freshwater crustaceans,1980,2.744805397
Freshwater crustaceans,1981,2.744805397
Freshwater crustaceans,1982,2.744805397
Freshwater crustaceans,1983,2.744805397
Freshwater crustaceans,1984,2.744805397
Freshwater crustaceans,1985,2.744805397
Freshwater crustaceans,1986,2.744805397
Freshwater crustaceans,1987,2.744805397
Freshwater crustaceans,1988,2.744805397
Freshwater crustaceans,1989,2.744805397
Freshwater crustaceans,1990,2.744805397
Freshwater crustaceans,1991,2.744805397
Freshwater crustaceans,1992,2.744805397
Freshwater crustaceans,1993,2.744805397
Freshwater crustaceans,1994,2.744805397
Freshwater crustaceans,1995,3.440320225
Freshwater crustaceans,1996,3.688186419
Freshwater crustaceans,1997,3.351884752
Freshwater crustaceans,1998,3.258552633
Freshwater crustaceans,1999,2.512868977
Freshwater crustaceans,2000,1.974047457
Freshwater crustaceans,2001,1.802554152
Freshwater crustaceans,2002,1.793392916
Freshwater crustaceans,2003,1.837994908
Freshwater crustaceans,2004,1.944765388
Freshwater crustaceans,2005,2.238780715
Freshwater crustaceans,2006,2.832728202
Freshwater crustaceans,2007,2.770273522
Freshwater crustaceans,2008,2.60919873
Freshwater crustaceans,2009,2.841627979
Freshwater crustaceans,2010,2.538517225
Freshwater crustaceans,2011,3.831264181
Freshwater crustaceans,2012,3.423208498
"Herrings, sardines, anchovies",1976,3.940443403
"Herrings, sardines, anchovies",1977,3.940443403
"Herrings, sardines, anchovies",1978,3.940443403
"Herrings, sardines, anchovies",1979,3.940443403
"Herrings, sardines, anchovies",1980,3.940443403
"Herrings, sardines, anchovies",1981,3.940443403
"Herrings, sardines, anchovies",1982,3.940443403
"Herrings, sardines, anchovies",1983,3.940443403
"Herrings, sardines, anchovies",1984,3.940443403
"Herrings, sardines, anchovies",1985,3.940443403
"Herrings, sardines, anchovies",1986,3.940443403
"Herrings, sardines, anchovies",1987,3.940443403
"Herrings, sardines, anchovies",1988,3.940443403
"Herrings, sardines, anchovies",1989,3.940443403
"Herrings, sardines, anchovies",1990,3.940443403
"Herrings, sardines, anchovies",1991,3.940443403
"Herrings, sardines, anchovies",1992,3.940443403
"Herrings, sardines, anchovies",1993,3.940443403
"Herrings, sardines, anchovies",1994,5.051793068
"Herrings, sardines, anchovies",1995,4.801628345
"Herrings, sardines, anchovies",1996,4.016860259
"Herrings, sardines, anchovies",1997,3.467384381
"Herrings, sardines, anchovies",1998,3.712723824
"Herrings, sardines, anchovies",1999,2.98853081
"Herrings, sardines, anchovies",2000,3.041592843
"Herrings, sardines, anchovies",2001,3.431536691
"Herrings, sardines, anchovies",2002,3.486497596
"Herrings, sardines, anchovies",2003,3.794700912
"Herrings, sardines, anchovies",2004,3.940443403
"Herrings, sardines, anchovies",2005,4.017048389
"Herrings, sardines, anchovies",2006,3.893578134
"Herrings, sardines, anchovies",2007,3.816395861
"Herrings, sardines, anchovies",2008,4.184587005
"Herrings, sardines, anchovies",2009,4.122830041
"Herrings, sardines, anchovies",2010,4.001210903
"Herrings, sardines, anchovies",2011,4.58503912
"Herrings, sardines, anchovies",2012,4.190627578
"Lobsters, spiny-rock lobsters",1976,1.518168435
"Lobsters, spiny-rock lobsters",1977,1.518168435
"Lobsters, spiny-rock lobsters",1978,1.518168435
"Lobsters, spiny-rock lobsters",1979,1.518168435
"Lobsters, spiny-rock lobsters",1980,1.518168435
"Lobsters, spiny-rock lobsters",1981,1.518168435
"Lobsters, spiny-rock lobsters",1982,1.518168435
"Lobsters, spiny-rock lobsters",1983,1.518168435
"Lobsters, spiny-rock lobsters",1984,1.518168435
"Lobsters, spiny-rock lobsters",1985,1.518168435
"Lobsters, spiny-rock lobsters",1986,1.518168435
"Lobsters, spiny-rock lobsters",1987,1.518168435
"Lobsters, spiny-rock lobsters",1988,1.518168435
"Lobsters, spiny-rock lobsters",1989,1.518168435
"Lobsters, spiny-rock lobsters",1990,1.518168435
"Lobsters, spiny-rock lobsters",1991,1.518168435
"Lobsters, spiny-rock lobsters",1992,1.518168435
"Lobsters, spiny-rock lobsters",1993,1.518168435
"Lobsters, spiny-rock lobsters",1994,1.315940299
"Lobsters, spiny-rock lobsters",1995,1.476721584
"Lobsters, spiny-rock lobsters",1996,1.47409161
"Lobsters, spiny-rock lobsters",1997,1.339250744
"Lobsters, spiny-rock lobsters",1998,1.35258254
"Lobsters, spiny-rock lobsters",1999,1.414042144
"Lobsters, spiny-rock lobsters",2000,1.464693238
"Lobsters, spiny-rock lobsters",2001,1.35647953
"Lobsters, spiny-rock lobsters",2002,1.447271354
"Lobsters, spiny-rock lobsters",2003,1.518168435
"Lobsters, spiny-rock lobsters",2004,1.603638797
"Lobsters, spiny-rock lobsters",2005,1.751312102
"Lobsters, spiny-rock lobsters",2006,1.792088026
"Lobsters, spiny-rock lobsters",2007,1.877281156
"Lobsters, spiny-rock lobsters",2008,1.864358403
"Lobsters, spiny-rock lobsters",2009,1.614033246
"Lobsters, spiny-rock lobsters",2010,1.724782794
"Lobsters, spiny-rock lobsters",2011,1.852301675
"Lobsters, spiny-rock lobsters",2012,1.74321008
Marine fishes not identified,1976,2.717875148
Marine fishes not identified,1977,2.717875148
Marine fishes not identified,1978,2.717875148
Marine fishes not identified,1979,2.717875148
Marine fishes not identified,1980,2.717875148
Marine fishes not identified,1981,2.717875148
Marine fishes not identified,1982,2.717875148
Marine fishes not identified,1983,2.717875148
Marine fishes not identified,1984,2.717875148
Marine fishes not identified,1985,2.717875148
Marine fishes not identified,1986,2.717875148
Marine fishes not identified,1987,2.717875148
Marine fishes not identified,1988,2.717875148
Marine fishes not identified,1989,2.717875148
Marine fishes not identified,1990,2.717875148
Marine fishes not identified,1991,2.717875148
Marine fishes not identified,1992,2.717875148
Marine fishes not identified,1993,2.717875148
Marine fishes not identified,1994,1.963561528
Marine fishes not identified,1995,2.236922698
Marine fishes not identified,1996,2.517838684
Marine fishes not identified,1997,2.327393513
Marine fishes not identified,1998,2.615075112
Marine fishes not identified,1999,2.369834087
Marine fishes not identified,2000,2.336542097
Marine fishes not identified,2001,2.38824176
Marine fishes not identified,2002,2.596360183
Marine fishes not identified,2003,2.717875148
Marine fishes not identified,2004,2.825415913
Marine fishes not identified,2005,2.87552244
Marine fishes not identified,2006,3.310540635
Marine fishes not identified,2007,3.632531965
Marine fishes not identified,2008,3.731361664
Marine fishes not identified,2009,3.821542831
Marine fishes not identified,2010,4.298500634
Marine fishes not identified,2011,4.252378149
Marine fishes not identified,2012,3.77367523
Miscellaneous aquatic invertebrates,1976,11.6146164
Miscellaneous aquatic invertebrates,1977,11.6146164
Miscellaneous aquatic invertebrates,1978,11.6146164
Miscellaneous aquatic invertebrates,1979,11.6146164
Miscellaneous aquatic invertebrates,1980,11.6146164
Miscellaneous aquatic invertebrates,1981,11.6146164
Miscellaneous aquatic invertebrates,1982,11.6146164
Miscellaneous aquatic invertebrates,1983,11.6146164
Miscellaneous aquatic invertebrates,1984,11.6146164
Miscellaneous aquatic invertebrates,1985,11.6146164
Miscellaneous aquatic invertebrates,1986,11.6146164
Miscellaneous aquatic invertebrates,1987,11.6146164
Miscellaneous aquatic invertebrates,1988,11.6146164
Miscellaneous aquatic invertebrates,1989,11.6146164
Miscellaneous aquatic invertebrates,1990,11.6146164
Miscellaneous aquatic invertebrates,1991,11.6146164
Miscellaneous aquatic invertebrates,1992,11.6146164
Miscellaneous aquatic invertebrates,1993,11.6146164
Miscellaneous aquatic invertebrates,1994,9.403865638
Miscellaneous aquatic invertebrates,1995,9.081056338
Miscellaneous aquatic invertebrates,1996,10.19978766
Miscellaneous aquatic invertebrates,1997,12.23418213
Miscellaneous aquatic invertebrates,1998,11.29632949
Miscellaneous aquatic invertebrates,1999,10.61425823
Miscellaneous aquatic invertebrates,2000,11.17748323
Miscellaneous aquatic invertebrates,2001,11.53841532
Miscellaneous aquatic invertebrates,2002,10.46884873
Miscellaneous aquatic invertebrates,2003,10.28959485
Miscellaneous aquatic invertebrates,2004,11.6146164
Miscellaneous aquatic invertebrates,2005,13.50782176
Miscellaneous aquatic invertebrates,2006,14.37858329
Miscellaneous aquatic invertebrates,2007,15.19650627
Miscellaneous aquatic invertebrates,2008,16.31813271
Miscellaneous aquatic invertebrates,2009,15.25030887
Miscellaneous aquatic invertebrates,2010,15.78926738
Miscellaneous aquatic invertebrates,2011,13.53442864
Miscellaneous aquatic invertebrates,2012,12.67222247
Miscellaneous coastal fishes,1976,1.40298942
Miscellaneous coastal fishes,1977,1.40298942
Miscellaneous coastal fishes,1978,1.40298942
Miscellaneous coastal fishes,1979,1.40298942
Miscellaneous coastal fishes,1980,1.40298942
Miscellaneous coastal fishes,1981,1.40298942
Miscellaneous coastal fishes,1982,1.40298942
Miscellaneous coastal fishes,1983,1.40298942
Miscellaneous coastal fishes,1984,1.40298942
Miscellaneous coastal fishes,1985,1.40298942
Miscellaneous coastal fishes,1986,1.40298942
Miscellaneous coastal fishes,1987,1.40298942
Miscellaneous coastal fishes,1988,1.40298942
Miscellaneous coastal fishes,1989,1.40298942
Miscellaneous coastal fishes,1990,1.40298942
Miscellaneous coastal fishes,1991,1.40298942
Miscellaneous coastal fishes,1992,1.40298942
Miscellaneous coastal fishes,1993,1.40298942
Miscellaneous coastal fishes,1994,1.509613164
Miscellaneous coastal fishes,1995,1.282785288
Miscellaneous coastal fishes,1996,1.40298942
Miscellaneous coastal fishes,1997,1.355299831
Miscellaneous coastal fishes,1998,1.291284894
Miscellaneous coastal fishes,1999,1.561919007
Miscellaneous coastal fishes,2000,1.248514774
Miscellaneous coastal fishes,2001,1.205445879
Miscellaneous coastal fishes,2002,1.295315336
Miscellaneous coastal fishes,2003,1.344978306
Miscellaneous coastal fishes,2004,1.522552052
Miscellaneous coastal fishes,2005,1.445729741
Miscellaneous coastal fishes,2006,1.491250867
Miscellaneous coastal fishes,2007,1.565980285
Miscellaneous coastal fishes,2008,1.606810792
Miscellaneous coastal fishes,2009,1.329837489
Miscellaneous coastal fishes,2010,1.304798402
Miscellaneous coastal fishes,2011,1.450091644
Miscellaneous coastal fishes,2012,1.816121355
Miscellaneous demersal fishes,1976,2.143668672
Miscellaneous demersal fishes,1977,2.143668672
Miscellaneous demersal fishes,1978,2.143668672
Miscellaneous demersal fishes,1979,2.143668672
Miscellaneous demersal fishes,1980,2.143668672
Miscellaneous demersal fishes,1981,2.143668672
Miscellaneous demersal fishes,1982,2.143668672
Miscellaneous demersal fishes,1983,2.143668672
Miscellaneous demersal fishes,1984,2.143668672
Miscellaneous demersal fishes,1985,2.143668672
Miscellaneous demersal fishes,1986,2.143668672
Miscellaneous demersal fishes,1987,2.143668672
Miscellaneous demersal fishes,1988,2.143668672
Miscellaneous demersal fishes,1989,2.143668672
Miscellaneous demersal fishes,1990,2.143668672
Miscellaneous demersal fishes,1991,2.143668672
Miscellaneous demersal fishes,1992,2.143668672
Miscellaneous demersal fishes,1993,2.143668672
Miscellaneous demersal fishes,1994,2.333876765
Miscellaneous demersal fishes,1995,2.65646277
Miscellaneous demersal fishes,1996,2.406556191
Miscellaneous demersal fishes,1997,2.386479323
Miscellaneous demersal fishes,1998,2.238688244
Miscellaneous demersal fishes,1999,2.325939315
Miscellaneous demersal fishes,2000,1.944324579
Miscellaneous demersal fishes,2001,1.856931129
Miscellaneous demersal fishes,2002,1.973682871
Miscellaneous demersal fishes,2003,2.172285743
Miscellaneous demersal fishes,2004,2.092693012
Miscellaneous demersal fishes,2005,2.090712489
Miscellaneous demersal fishes,2006,1.959182594
Miscellaneous demersal fishes,2007,2.143668672
Miscellaneous demersal fishes,2008,2.268799253
Miscellaneous demersal fishes,2009,2.085378862
Miscellaneous demersal fishes,2010,2.003621267
Miscellaneous demersal fishes,2011,2.237943912
Miscellaneous demersal fishes,2012,2.11526637
Miscellaneous diadromous fishes,1976,7.815809945
Miscellaneous diadromous fishes,1977,7.815809945
Miscellaneous diadromous fishes,1978,7.815809945
Miscellaneous diadromous fishes,1979,7.815809945
Miscellaneous diadromous fishes,1980,7.815809945
Miscellaneous diadromous fishes,1981,7.815809945
Miscellaneous diadromous fishes,1982,7.815809945
Miscellaneous diadromous fishes,1983,7.815809945
Miscellaneous diadromous fishes,1984,7.815809945
Miscellaneous diadromous fishes,1985,7.815809945
Miscellaneous diadromous fishes,1986,7.815809945
Miscellaneous diadromous fishes,1987,7.815809945
Miscellaneous diadromous fishes,1988,7.815809945
Miscellaneous diadromous fishes,1989,7.815809945
Miscellaneous diadromous fishes,1990,7.815809945
Miscellaneous diadromous fishes,1991,7.815809945
Miscellaneous diadromous fishes,1992,7.815809945
Miscellaneous diadromous fishes,1993,7.815809945
Miscellaneous diadromous fishes,1994,11.82004375
Miscellaneous diadromous fishes,1995,10.6129423
Miscellaneous diadromous fishes,1996,8.789473684
Miscellaneous diadromous fishes,1997,7.349211038
Miscellaneous diadromous fishes,1998,7.459374404
Miscellaneous diadromous fishes,1999,7.243494735
Miscellaneous diadromous fishes,2000,7.85467891
Miscellaneous diadromous fishes,2001,7.080339021
Miscellaneous diadromous fishes,2002,7.389695383
Miscellaneous diadromous fishes,2003,7.448965612
Miscellaneous diadromous fishes,2004,7.057633245
Miscellaneous diadromous fishes,2005,7.666893414
Miscellaneous diadromous fishes,2006,7.099531104
Miscellaneous diadromous fishes,2007,7.815809945
Miscellaneous diadromous fishes,2008,8.508917737
Miscellaneous diadromous fishes,2009,8.83128711
Miscellaneous diadromous fishes,2010,9.813198017
Miscellaneous diadromous fishes,2011,9.504225451
Miscellaneous diadromous fishes,2012,9.324508125
Miscellaneous freshwater fishes,1976,7.728700257
Miscellaneous freshwater fishes,1977,7.728700257
Miscellaneous freshwater fishes,1978,7.728700257
Miscellaneous freshwater fishes,1979,7.728700257
Miscellaneous freshwater fishes,1980,7.728700257
Miscellaneous freshwater fishes,1981,7.728700257
Miscellaneous freshwater fishes,1982,7.728700257
Miscellaneous freshwater fishes,1983,7.728700257
Miscellaneous freshwater fishes,1984,7.728700257
Miscellaneous freshwater fishes,1985,7.728700257
Miscellaneous freshwater fishes,1986,7.728700257
Miscellaneous freshwater fishes,1987,7.728700257
Miscellaneous freshwater fishes,1988,7.728700257
Miscellaneous freshwater fishes,1989,7.728700257
Miscellaneous freshwater fishes,1990,7.728700257
Miscellaneous freshwater fishes,1991,7.728700257
Miscellaneous freshwater fishes,1992,7.728700257
Miscellaneous freshwater fishes,1993,7.728700257
Miscellaneous freshwater fishes,1994,5.844325529
Miscellaneous freshwater fishes,1995,5.689846502
Miscellaneous freshwater fishes,1996,6.494643752
Miscellaneous freshwater fishes,1997,7.437310913
Miscellaneous freshwater fishes,1998,7.207573753
Miscellaneous freshwater fishes,1999,7.728700257
Miscellaneous freshwater fishes,2000,6.913283316
Miscellaneous freshwater fishes,2001,7.816253413
Miscellaneous freshwater fishes,2002,7.720422018
Miscellaneous freshwater fishes,2003,7.55658012
Miscellaneous freshwater fishes,2004,7.505616872
Miscellaneous freshwater fishes,2005,8.112700264
Miscellaneous freshwater fishes,2006,8.719014103
Miscellaneous freshwater fishes,2007,9.82139401
Miscellaneous freshwater fishes,2008,9.710333905
Miscellaneous freshwater fishes,2009,10.43834689
Miscellaneous freshwater fishes,2010,9.221879022
Miscellaneous freshwater fishes,2011,10.33507261
Miscellaneous freshwater fishes,2012,8.363452277
Miscellaneous marine crustaceans,1976,1.155388319
Miscellaneous marine crustaceans,1977,1.155388319
Miscellaneous marine crustaceans,1978,1.155388319
Miscellaneous marine crustaceans,1979,1.155388319
Miscellaneous marine crustaceans,1980,1.155388319
Miscellaneous marine crustaceans,1981,1.155388319
Miscellaneous marine crustaceans,1982,1.155388319
Miscellaneous marine crustaceans,1983,1.155388319
Miscellaneous marine crustaceans,1984,1.155388319
Miscellaneous marine crustaceans,1985,1.155388319
Miscellaneous marine crustaceans,1986,1.155388319
Miscellaneous marine crustaceans,1987,1.155388319
Miscellaneous marine crustaceans,1988,1.155388319
Miscellaneous marine crustaceans,1989,1.155388319
Miscellaneous marine crustaceans,1990,1.155388319
Miscellaneous marine crustaceans,1991,1.155388319
Miscellaneous marine crustaceans,1992,1.155388319
