iso3,sovereign_iso3,WTO_name,WTO_status,is_EU,is_overseas_territory,is_permanently_inhabited
MTQ,FRA,,,FALSE,TRUE,TRUE
MYT,FRA,,,FALSE,TRUE,TRUE
NCL,FRA,,,FALSE,TRUE,TRUE
PYF,FRA,,,FALSE,TRUE,TRUE
REU,FRA,,,FALSE,TRUE,TRUE
SPM,FRA,,,FALSE,TRUE,TRUE
WLF,FRA,,,FALSE,TRUE,TRUE
FRO,DNK,,,FALSE,TRUE,TRUE
GRL,DNK,,,FALSE,TRUE,TRUE
AIA,GBR,,,FALSE,TRUE,FALSE
ASC,GBR,,,FALSE,TRUE,TRUE
BMU,GBR,,,FALSE,TRUE,TRUE
CYM,GBR,,,FALSE,TRUE,TRUE
FLK,GBR,,,FALSE,TRUE,TRUE
GGY,GBR,,,FALSE,TRUE,TRUE
GIB,GBR,,,FALSE,TRUE,TRUE
IOT,GBR,,,FALSE,TRUE,FALSE
JEY,GBR,,,FALSE,TRUE,TRUE
MSR,GBR,,,FALSE,TRUE,TRUE
PCN,GBR,,,FALSE,TRUE,TRUE
SGS,GBR,,,FALSE,TRUE,FALSE
SHN,GBR,,,FALSE,TRUE,TRUE
TAA,GBR,,,FALSE,TRUE,TRUE
TCA,GBR,,,FALSE,TRUE,TRUE
VGB,GBR,,,FALSE,TRUE,TRUE
BVT,NOR,,,FALSE,TRUE,FALSE
SJM,NOR,,,FALSE,TRUE,TRUE
ASM,USA,,,FALSE,TRUE,TRUE
GUM,USA,,,FALSE,TRUE,TRUE
MNP,USA,,,FALSE,TRUE,TRUE
PRI,USA,,,FALSE,TRUE,TRUE
VIR,USA,,,FALSE,TRUE,TRUE
UMI,USA,,,FALSE,TRUE,FALSE
CXR,AUS,,,FALSE,TRUE,TRUE
AFG,AFG,Afghanistan,Member,FALSE,FALSE,TRUE
ALB,ALB,Albania,Member,FALSE,FALSE,TRUE
AGO,AGO,Angola,Member,FALSE,FALSE,TRUE
ATG,ATG,Antigua and Barbuda,Member,FALSE,FALSE,TRUE
ARG,ARG,Argentina,Member,FALSE,FALSE,TRUE
ARM,ARM,Armenia,Member,FALSE,FALSE,TRUE
AUS,AUS,Austraila,Member,FALSE,FALSE,TRUE
BHR,BHR,"Bahrain, Kingdom of",Member,FALSE,FALSE,TRUE
BGD,BGD,Bangladesh,Member,FALSE,FALSE,TRUE
BRB,BRB,Barbados,Member,FALSE,FALSE,TRUE
BLZ,BLZ,Belize,Member,FALSE,FALSE,TRUE
BEN,BEN,Benin,Member,FALSE,FALSE,TRUE
BOL,BOL,"Bolivia, Plurinational State of",Member,FALSE,FALSE,TRUE
BWA,BWA,Botswana,Member,FALSE,FALSE,TRUE
BRA,BRA,Brazil,Member,FALSE,FALSE,TRUE
BRN,BRN,Brunei Darussalam,Member,FALSE,FALSE,TRUE
BFA,BFA,Burkina Faso,Member,FALSE,FALSE,TRUE
BDI,BDI,Burundi,Member,FALSE,FALSE,TRUE
CPV,CPV,Cabo Verde,Member,FALSE,FALSE,TRUE
KHM,KHM,Cambodia,Member,FALSE,FALSE,TRUE
CMR,CMR,Cameroon,Member,FALSE,FALSE,TRUE
CAN,CAN,Canada,Member,FALSE,FALSE,TRUE
CAF,CAF,Central African Republic,Member,FALSE,FALSE,TRUE
TCD,TCD,Chad,Member,FALSE,FALSE,TRUE
CHL,CHL,Chile,Member,FALSE,FALSE,TRUE
CHN,CHN,China,Member,FALSE,FALSE,TRUE
COL,COL,Colombia,Member,FALSE,FALSE,TRUE
COG,COG,Congo,Member,FALSE,FALSE,TRUE
CRI,CRI,Costa Rica,Member,FALSE,FALSE,TRUE
CIV,CIV,Côte d'Ivoire,Member,FALSE,FALSE,TRUE
CUB,CUB,Cuba,Member,FALSE,FALSE,TRUE
COD,COD,Democratic Republic of the Congo,Member,FALSE,FALSE,TRUE
DJI,DJI,Djibouti,Member,FALSE,FALSE,TRUE
DMA,DMA,Dominica,Member,FALSE,FALSE,TRUE
DOM,DOM,Dominican Republic,Member,FALSE,FALSE,TRUE
ECU,ECU,Ecuador,Member,FALSE,FALSE,TRUE
EGY,EGY,Egypt,Member,FALSE,FALSE,TRUE
SLV,SLV,El Salvador,Member,FALSE,FALSE,TRUE
SWZ,SWZ,Eswatini,Member,FALSE,FALSE,TRUE
FJI,FJI,Fiji,Member,FALSE,FALSE,TRUE
GAB,GAB,Gabon,Member,FALSE,FALSE,TRUE
GMB,GMB,Gambia,Member,FALSE,FALSE,TRUE
GEO,GEO,Georgia,Member,FALSE,FALSE,TRUE
GHA,GHA,Ghana,Member,FALSE,FALSE,TRUE
GRD,GRD,Grenada,Member,FALSE,FALSE,TRUE
GTM,GTM,Guatemala,Member,FALSE,FALSE,TRUE
GIN,GIN,Guinea,Member,FALSE,FALSE,TRUE
GNB,GNB,Guinea-Bissau,Member,FALSE,FALSE,TRUE
GUY,GUY,Guyana,Member,FALSE,FALSE,TRUE
HTI,HTI,Haiti,Member,FALSE,FALSE,TRUE
HND,HND,Honduras,Member,FALSE,FALSE,TRUE
HKG,HKG,"Hong Kong, China",Member,FALSE,FALSE,TRUE
ISL,ISL,Iceland,Member,FALSE,FALSE,TRUE
IND,IND,India,Member,FALSE,FALSE,TRUE
IDN,IDN,Indonesia,Member,FALSE,FALSE,TRUE
ISR,ISR,Israel,Member,FALSE,FALSE,TRUE
JAM,JAM,Jamaica,Member,FALSE,FALSE,TRUE
JPN,JPN,Japan,Member,FALSE,FALSE,TRUE
JOR,JOR,Jordan,Member,FALSE,FALSE,TRUE
KAZ,KAZ,Kazakhstan,Member,FALSE,FALSE,TRUE
KEN,KEN,Kenya,Member,FALSE,FALSE,TRUE
KOR,KOR,"Korea, Republic of",Member,FALSE,FALSE,TRUE
KWT,KWT,"Kuwait, the State of",Member,FALSE,FALSE,TRUE
KGZ,KGZ,Kyrgyz Republic,Member,FALSE,FALSE,TRUE
LAO,LAO,Lao People's Democratic Republic,Member,FALSE,FALSE,TRUE
LSO,LSO,Lesotho,Member,FALSE,FALSE,TRUE
LBR,LBR,Liberia,Member,FALSE,FALSE,TRUE
LIE,LIE,Liechtenstein,Member,FALSE,FALSE,TRUE
MAC,MAC,"Macao, China",Member,FALSE,FALSE,TRUE
MDG,MDG,Madagascar,Member,FALSE,FALSE,TRUE
MWI,MWI,Malawi,Member,FALSE,FALSE,TRUE
MYS,MYS,Malaysia,Member,FALSE,FALSE,TRUE
MDV,MDV,Maldives,Member,FALSE,FALSE,TRUE
MLI,MLI,Mali,Member,FALSE,FALSE,TRUE
MRT,MRT,Mauritania,Member,FALSE,FALSE,TRUE
MUS,MUS,Mauritius,Member,FALSE,FALSE,TRUE
MEX,MEX,Mexico,Member,FALSE,FALSE,TRUE
MDA,MDA,"Moldova, Republic of",Member,FALSE,FALSE,TRUE
MNG,MNG,Mongolia,Member,FALSE,FALSE,TRUE
MNE,MNE,Montenegro,Member,FALSE,FALSE,TRUE
MAR,MAR,Morocco,Member,FALSE,FALSE,TRUE
ESH,MAR,,,FALSE,TRUE,TRUE
MOZ,MOZ,Mozambique,Member,FALSE,FALSE,TRUE
MMR,MMR,Myanmar,Member,FALSE,FALSE,TRUE
NAM,NAM,Namibia,Member,FALSE,FALSE,TRUE
NPL,NPL,Nepal,Member,FALSE,FALSE,TRUE
NZL,NZL,New Zealand,Member,FALSE,FALSE,TRUE
NIC,NIC,Nicaragua,Member,FALSE,FALSE,TRUE
NER,NER,Niger,Member,FALSE,FALSE,TRUE
NGA,NGA,Nigeria,Member,FALSE,FALSE,TRUE
MKD,MKD,North Macedonia,Member,FALSE,FALSE,TRUE
NOR,NOR,Norway,Member,FALSE,FALSE,TRUE
OMN,OMN,Oman,Member,FALSE,FALSE,TRUE
PAK,PAK,Pakistan,Member,FALSE,FALSE,TRUE
PAN,PAN,Panama,Member,FALSE,FALSE,TRUE
PNG,PNG,Papua New Guinea,Member,FALSE,FALSE,TRUE
PRY,PRY,Paraguay,Member,FALSE,FALSE,TRUE
PER,PER,Peru,Member,FALSE,FALSE,TRUE
PHL,PHL,Philippines,Member,FALSE,FALSE,TRUE
QAT,QAT,Qatar,Member,FALSE,FALSE,TRUE
RUS,RUS,Russian Federation,Member,FALSE,FALSE,TRUE
RWA,RWA,Rwanda,Member,FALSE,FALSE,TRUE
KNA,KNA,Saint Kitts and Nevis,Member,FALSE,FALSE,TRUE
LCA,LCA,Saint Lucia,Member,FALSE,FALSE,TRUE
VCT,VCT,Saint Vincent and the Grenadines,Member,FALSE,FALSE,TRUE
WSM,WSM,Samoa,Member,FALSE,FALSE,TRUE
SAU,SAU,"Saudi Arabia, Kingdom of",Member,FALSE,FALSE,TRUE
SEN,SEN,Senegal,Member,FALSE,FALSE,TRUE
SYC,SYC,Seychelles,Member,FALSE,FALSE,TRUE
SLE,SLE,Sierra Leone,Member,FALSE,FALSE,TRUE
SGP,SGP,Singapore,Member,FALSE,FALSE,TRUE
SLB,SLB,Solomon Islands,Member,FALSE,FALSE,TRUE
ZAF,ZAF,South Africa,Member,FALSE,FALSE,TRUE
LKA,LKA,Sri Lanka,Member,FALSE,FALSE,TRUE
SUR,SUR,Suriname,Member,FALSE,FALSE,TRUE
CHE,CHE,Switzerland,Member,FALSE,FALSE,TRUE
TWN,TWN,Chinese Taipei,Member,FALSE,FALSE,TRUE
TJK,TJK,Tajikistan,Member,FALSE,FALSE,TRUE
TZA,TZA,Tanzania,Member,FALSE,FALSE,TRUE
THA,THA,Thailand,Member,FALSE,FALSE,TRUE
TGO,TGO,Togo,Member,FALSE,FALSE,TRUE
TON,TON,Tonga,Member,FALSE,FALSE,TRUE
TTO,TTO,Trinidad and Tobago,Member,FALSE,FALSE,TRUE
TUN,TUN,Tunisia,Member,FALSE,FALSE,TRUE
TUR,TUR,Turkey,Member,FALSE,FALSE,TRUE
UGA,UGA,Uganda,Member,FALSE,FALSE,TRUE
UKR,UKR,Ukraine,Member,FALSE,FALSE,TRUE
ARE,ARE,United Arab Emirates,Member,FALSE,FALSE,TRUE
USA,USA,United States,Member,FALSE,FALSE,TRUE
URY,URY,Uruguay,Member,FALSE,FALSE,TRUE
VUT,VUT,Vanuatu,Member,FALSE,FALSE,TRUE
VEN,VEN,"Venezuela, Bolivarian Republic of",Member,FALSE,FALSE,TRUE
VNM,VNM,Viet Nam,Member,FALSE,FALSE,TRUE
YEM,YEM,Yemen,Member,FALSE,FALSE,TRUE
ZMB,ZMB,Zambia,Member,FALSE,FALSE,TRUE
ZWE,ZWE,Zimbabwe,Member,FALSE,FALSE,TRUE
DZA,DZA,Algeria,Observer,FALSE,FALSE,TRUE
AND,AND,Andorra,Observer,FALSE,FALSE,TRUE
AZE,AZE,Azerbaijan,Observer,FALSE,FALSE,TRUE
BHS,BHS,Bahamas,Observer,FALSE,FALSE,TRUE
BLR,BLR,Belarus,Observer,FALSE,FALSE,TRUE
BTN,BTN,Bhutan,Observer,FALSE,FALSE,TRUE
BIH,BIH,Bosnia and Herzegovina,Observer,FALSE,FALSE,TRUE
COM,COM,Comoros,Observer,FALSE,FALSE,TRUE
GNQ,GNQ,Equatorial Guinea,Observer,FALSE,FALSE,TRUE
ETH,ETH,Ethiopia,Observer,FALSE,FALSE,TRUE
VAT,VAT,Holy See,Observer,FALSE,FALSE,TRUE
IRN,IRN,Iran,Observer,FALSE,FALSE,TRUE
IRQ,IRQ,Iraq,Observer,FALSE,FALSE,TRUE
LBN,LBN,Lebanese Republic,Observer,FALSE,FALSE,TRUE
LBY,LBY,Libya,Observer,FALSE,FALSE,TRUE
STP,STP,Sao Tomé and Principe,Observer,FALSE,FALSE,TRUE
SRB,SRB,Serbia,Observer,FALSE,FALSE,TRUE
SOM,SOM,Somalia,Observer,FALSE,FALSE,TRUE
SSD,SSD,South Sudan,Observer,FALSE,FALSE,TRUE
SDN,SDN,Sudan,Observer,FALSE,FALSE,TRUE
SYR,SYR,Syrian Arab Republic,Observer,FALSE,FALSE,TRUE
TLS,TLS,Timor-Leste,Observer,FALSE,FALSE,TRUE
UZB,UZB,Uzbekistan,Observer,FALSE,FALSE,TRUE
COK,COK,Cook Islands,Non-Member,FALSE,FALSE,TRUE
PRK,PRK,Democratic People's Republic of Korea,Non-Member,FALSE,FALSE,TRUE
PSE,PSE,Palestine,Non-Member,FALSE,FALSE,TRUE
PLW,PLW,Palau,Non-Member,FALSE,FALSE,TRUE
TUV,TUV,Tuvalu,Non-Member,FALSE,FALSE,TRUE
KIR,KIR,Kiribati,Non-Member,FALSE,FALSE,TRUE
FSM,FSM,Micronesia (Federated States of),Non-Member,FALSE,FALSE,TRUE
MHL,MHL,Marshall Islands,Non-Member,FALSE,FALSE,TRUE
NRU,NRU,Nauru,Non-Member,FALSE,FALSE,TRUE
NIU,NIU,Niue,Non-Member,FALSE,FALSE,TRUE
